ID,Name,Date,Time_ID,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW
EP011949,            UNNAMED,19490611,1,0,  , TS,20.2N,106.3W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP011949,            UNNAMED,19490611,2,600,  , TS,20.2N,106.4W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP011949,            UNNAMED,19490611,3,1200,  , TS,20.2N,106.7W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP011949,            UNNAMED,19490611,4,1800,  , TS,20.3N,107.7W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP011949,            UNNAMED,19490612,5,0,  , TS,20.4N,108.6W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP011949,            UNNAMED,19490612,6,600,  , TS,20.5N,109.4W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP011949,            UNNAMED,19490612,7,1200,  , TS,20.6N,110.2W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490617,8,1200,  , TS,14.1N,107.0W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490617,9,1800,  , TS,14.6N,107.7W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490618,10,0,  , TS,15.0N,108.4W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490618,11,600,  , TS,15.4N,109.2W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490618,12,1200,  , TS,15.7N,110.0W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490618,13,1800,  , TS,16.0N,110.8W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490619,14,0,  , TS,16.3N,111.6W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490619,15,600,  , TS,16.7N,112.3W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490619,16,1200,  , TS,17.1N,112.9W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490619,17,1800,  , TS,17.5N,113.5W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490620,18,0,  , TS,18.0N,114.1W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490620,19,600,  , TS,18.4N,114.6W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490620,20,1200,  , TS,18.9N,115.1W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490620,21,1800,  , TS,19.4N,115.6W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490621,22,0,  , TS,19.9N,116.0W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490621,23,600,  , TS,20.4N,116.4W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490621,24,1200,  , TS,21.0N,116.7W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490621,25,1800,  , TS,21.5N,117.1W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490622,26,0,  , TS,22.0N,117.5W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490622,27,600,  , TS,22.5N,117.8W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490622,28,1200,  , TS,23.1N,118.0W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490622,29,1800,  , TS,23.9N,118.0W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490623,30,0,  , TS,24.7N,117.7W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490623,31,600,  , TS,25.4N,117.4W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,            UNNAMED,19490623,32,1200,  , TS,26.0N,117.0W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
